ListSizes,TestResult
0,0
1000,1
2000,2
3000,3
4000,4
5000,5
6000,6
7000,7
8000,8
9000,8
10000,9
11000,11
12000,11
13000,11
14000,12
15000,14
16000,14
17000,15
18000,16
19000,16
20000,17
21000,19
22000,20
23000,20
24000,21
25000,24
26000,26
27000,27
28000,27
29000,26
30000,26
31000,27
32000,31
33000,31
34000,30
35000,32
36000,32
37000,34
38000,34
39000,34
40000,36
41000,35
42000,37
43000,39
44000,40
45000,39
46000,41
47000,42
48000,43
49000,45
50000,44
51000,45
52000,47
53000,46
54000,52
55000,50
56000,50
57000,50
58000,55
59000,65
60000,63
61000,54
62000,57
63000,61
64000,57
65000,58
66000,62
67000,60
68000,64
69000,63
70000,66
71000,68
72000,71
73000,69
74000,69
75000,69
76000,67
77000,70
78000,71
79000,73
80000,73
81000,74
82000,73
83000,72
84000,74
85000,76
86000,79
87000,80
88000,78
89000,83
90000,79
91000,80
92000,85
93000,84
94000,84
95000,86
96000,86
97000,88
98000,88
99000,90
100000,94
101000,92
102000,100
103000,89
104000,94
105000,94
106000,96
107000,98
108000,98
109000,95
110000,94
111000,99
112000,97
113000,99
114000,101
115000,101
116000,102
117000,104
118000,105
119000,104
120000,106
121000,108
122000,105
123000,109
124000,111
125000,110
126000,112
127000,111
128000,113
129000,115
130000,117
131000,116
132000,116
133000,119
134000,118
135000,118
136000,119
137000,119
138000,125
139000,124
140000,122
141000,124
142000,128
143000,124
144000,127
145000,127
146000,126
147000,133
148000,132
149000,133
150000,134
151000,137
152000,140
153000,135
154000,138
155000,139
156000,142
157000,144
158000,141
159000,142
160000,142
161000,145
162000,145
163000,146
164000,145
165000,144
166000,149
167000,148
168000,150
169000,162
170000,157
171000,152
172000,154
173000,167
174000,150
175000,151
176000,159
177000,157
178000,159
179000,160
180000,155
181000,166
182000,171
183000,174
184000,163
185000,170
186000,165
187000,169
188000,171
189000,185
190000,173
191000,171
192000,174
193000,171
194000,176
195000,184
196000,176
197000,173
198000,180
199000,177
