K,TestResult
0,0
1000,212
2000,221
3000,249
4000,237
5000,238
6000,251
7000,253
8000,249
9000,260
10000,256
11000,263
12000,265
13000,279
14000,274
15000,267
16000,291
17000,274
18000,343
19000,348
20000,285
21000,276
22000,294
23000,290
24000,311
25000,283
26000,276
27000,292
28000,289
29000,300
30000,300
31000,352
32000,320
33000,301
34000,304
35000,334
36000,311
37000,323
38000,292
39000,299
40000,306
41000,302
42000,306
43000,314
44000,332
45000,332
46000,319
47000,314
48000,352
49000,337
50000,358
51000,358
52000,332
53000,334
54000,334
55000,333
56000,340
57000,382
58000,387
59000,335
60000,318
61000,329
62000,312
63000,320
64000,326
65000,332
66000,325
67000,341
68000,357
69000,371
70000,339
71000,356
72000,365
73000,334
74000,331
75000,339
76000,329
77000,326
78000,337
79000,328
80000,346
81000,356
82000,363
83000,359
84000,364
85000,345
86000,346
87000,337
88000,348
89000,357
90000,358
91000,349
92000,346
93000,387
94000,346
95000,346
96000,350
97000,355
98000,373
99000,373
100000,375
101000,381
102000,354
103000,353
104000,354
105000,362
106000,358
107000,351
108000,365
109000,352
110000,371
111000,358
112000,346
113000,368
114000,368
115000,355
116000,364
117000,355
118000,364
119000,364
120000,367
121000,421
122000,384
123000,372
124000,369
125000,418
126000,401
127000,373
128000,379
129000,394
130000,415
131000,380
132000,392
133000,397
134000,384
135000,389
136000,401
137000,409
138000,397
139000,387
140000,383
141000,386
142000,419
143000,386
144000,375
145000,370
146000,383
147000,385
148000,383
149000,390
150000,380
151000,414
152000,415
153000,395
154000,383
155000,447
156000,374
157000,393
158000,406
159000,372
160000,382
161000,388
162000,386
163000,395
164000,378
165000,385
166000,394
167000,377
168000,388
169000,386
170000,388
171000,408
172000,393
173000,386
174000,390
175000,396
176000,409
177000,383
178000,379
179000,388
180000,388
181000,391
182000,392
183000,393
184000,392
185000,387
186000,402
187000,425
188000,428
189000,400
190000,393
191000,392
192000,388
193000,410
194000,415
195000,408
196000,469
197000,419
198000,398
199000,417
