Size of Dictionary,Hash Code: 4 first character,Hash Code: sum of all characters,"Hash Code: Using Number ""31"""
0,0,0,0
1000,0,0,1
2000,1,1,1
3000,1,1,2
4000,2,2,3
5000,4,3,4
6000,7,4,5
7000,6,5,5
8000,10,6,6
9000,25,9,9
10000,18,10,10
11000,18,10,10
12000,23,11,10
13000,24,12,11
14000,28,13,11
15000,33,15,12
16000,40,18,12
17000,57,26,19
18000,60,28,19
19000,63,30,20
20000,72,32,20
21000,81,33,20
22000,87,36,21
23000,95,39,22
24000,101,47,21
25000,111,46,22
26000,128,51,27
27000,131,53,23
28000,140,54,24
29000,165,58,27
30000,164,62,26
31000,175,65,26
32000,197,64,26
33000,266,87,36
34000,275,94,38
35000,300,100,38
36000,316,109,40
37000,330,115,41
38000,400,111,41
39000,375,120,40
40000,429,123,45
41000,422,132,41
42000,472,140,44
43000,457,154,42
44000,515,147,44
45000,566,160,45
46000,592,162,46
47000,519,168,45
48000,544,178,45
49000,586,183,47
50000,643,188,48
51000,682,195,47
52000,680,193,46
53000,704,211,49
54000,736,220,49
55000,788,227,51
56000,800,230,52
57000,854,239,52
58000,858,251,53
59000,928,273,52
60000,955,287,52
61000,965,279,54
62000,921,284,56
63000,1019,291,55
64000,1147,303,54
65000,1187,306,56
66000,1325,398,78
67000,1474,409,80
68000,1573,422,85
69000,1550,440,82
70000,1585,439,83
71000,1684,454,82
72000,1620,483,88
73000,1763,502,84
74000,1825,525,91
75000,1903,525,84
76000,1892,513,84
77000,1851,542,83
78000,1980,536,85
79000,1923,527,88
